PMT_ID,CircleNo,PositionNo,UpOrDown(0=Up 1=Down),PMTType,Channel(0-2),X,Y,Z,Theta,Phi,GCU,BECID,RMU_ID,RMU_2nd
49,59,9,0,2,1,546.792,-2395.65,19278.02,7.264,-77.1428,4085,45.0,5,5.0-3.0
50,59,10,0,2,0,1066.166,-2213.92,19278.02,7.264,-64.2857,4085,45.0,5,5.0-3.0
51,59,11,0,2,2,1532.077,-1921.16,19278.02,7.264,-51.4285,5848,45.0,5,5.0-3.0
52,59,12,0,2,1,1921.164,-1532.08,19278.02,7.264,-38.5715,5848,45.0,5,5.0-3.0
53,59,13,0,2,0,2213.915,-1066.17,19278.02,7.264,-25.7144,5848,45.0,5,5.0-3.0
54,59,14,0,2,2,2395.652,-546.792,19278.02,7.264,-12.8571,6128,146.0,3,3.0-3.0
55,59,15,0,2,1,2457.261,0.0,19278.02,7.264,0.0,6128,146.0,3,3.0-3.0
56,59,16,0,2,0,2395.652,546.7919,19278.02,7.264,12.8571,6128,146.0,3,3.0-3.0
57,59,17,0,2,0,2213.915,1066.165,19278.02,7.264,25.7143,2524,146.0,3,3.0-3.0
58,59,18,0,2,1,1921.164,1532.077,19278.02,7.264,38.5714,2524,146.0,3,3.0-3.0
59,59,19,0,2,2,1532.077,1921.164,19278.02,7.264,51.4286,2524,146.0,3,3.0-3.0
60,59,20,0,2,0,1066.165,2213.915,19278.02,7.264,64.2857,3485,146.0,3,3.0-3.0
61,59,21,0,2,1,546.7918,2395.652,19278.02,7.264,77.1429,3485,146.0,3,3.0-3.0
62,59,22,0,2,2,0.0,2457.261,19278.02,7.264,90.0,3485,146.0,3,3.0-3.0
63,59,23,0,2,2,-546.792,2395.652,19278.02,7.264,102.8571,5506,146.0,3,3.0-3.0
64,59,24,0,2,2,-1066.17,2213.915,19278.02,7.264,115.7144,3195,146.0,3,3.0-3.0
65,59,25,0,2,1,-1532.08,1921.164,19278.02,7.264,128.5715,3195,146.0,3,3.0-3.0
66,59,26,0,2,0,-1921.16,1532.077,19278.02,7.264,141.4285,3195,146.0,3,3.0-3.0
67,59,27,0,2,2,-2213.92,1066.165,19278.02,7.264,154.2858,6428,45.0,5,5.0-3.0
68,59,28,0,2,1,-2395.65,546.7917,19278.02,7.264,167.1429,6428,45.0,5,5.0-3.0
69,58,1,0,2,2,-2981.99,-133.921,19203.39,8.8354,-177.4286,5452,45.0,5,5.0-3.0
70,58,2,0,2,1,-2910.15,-664.223,19203.39,8.8354,-167.1429,5452,45.0,5,5.0-3.0
71,58,3,0,2,0,-2744.78,-1173.18,19203.39,8.8354,-156.8571,5452,45.0,5,5.0-3.0
72,58,4,0,2,0,-2491.19,-1644.42,19203.39,8.8354,-146.5714,5026,45.0,5,5.0-3.0
73,58,5,0,2,1,-2157.54,-2062.82,19203.39,8.8354,-136.2857,5026,45.0,5,5.0-3.0
74,58,6,0,2,2,-1754.53,-2414.91,19203.39,8.8354,-125.9999,5026,45.0,5,5.0-3.0
75,58,7,0,2,0,-1295.14,-2689.39,19203.39,8.8354,-115.7143,3608,45.0,5,5.0-3.0
76,58,8,0,2,1,-794.118,-2877.42,19203.39,8.8354,-105.4286,3608,45.0,5,5.0-3.0
77,58,9,0,2,2,-267.573,-2972.98,19203.39,8.8354,-95.1429,3608,45.0,5,5.0-3.0
78,58,10,0,2,0,267.5725,-2972.98,19203.39,8.8354,-84.8572,3245,45.0,5,5.0-3.0
79,58,11,0,2,1,794.1177,-2877.42,19203.39,8.8354,-74.5714,3245,45.0,5,5.0-3.0
80,58,12,0,2,2,1295.14,-2689.39,19203.39,8.8354,-64.2857,3245,45.0,5,5.0-3.0
81,58,13,0,2,2,1754.534,-2414.91,19203.39,8.8354,-54.0,6466,45.0,5,5.0-3.0
82,58,14,0,2,1,2157.537,-2062.82,19203.39,8.8354,-43.7143,6466,45.0,5,5.0-3.0
83,58,15,0,2,0,2491.195,-1644.42,19203.39,8.8354,-33.4285,6466,45.0,5,5.0-3.0
84,58,16,0,2,2,2744.783,-1173.18,19203.39,8.8354,-23.1429,5796,146.0,3,3.0-3.0
85,58,17,0,2,1,2910.152,-664.223,19203.39,8.8354,-12.8571,5796,146.0,3,3.0-3.0
86,58,18,0,2,0,2981.987,-133.921,19203.39,8.8354,-2.5714,5796,146.0,3,3.0-3.0
87,58,19,0,2,0,2957.978,400.6851,19203.39,8.8354,7.7143,5053,146.0,3,3.0-3.0
88,58,20,0,2,1,2838.897,922.4131,19203.39,8.8354,18.0,5053,146.0,3,3.0-3.0
89,58,21,0,2,2,2628.571,1414.494,19203.39,8.8354,28.2857,5053,146.0,3,3.0-3.0
90,58,22,0,2,0,2333.761,1861.112,19203.39,8.8354,38.5714,5464,146.0,3,3.0-3.0
91,58,23,0,2,1,1963.942,2247.912,19203.39,8.8354,48.8571,5464,146.0,3,3.0-3.0
92,58,24,0,2,2,1531.0,2562.463,19203.39,8.8354,59.1429,5464,146.0,3,3.0-3.0
93,58,25,0,2,0,1048.851,2794.654,19203.39,8.8354,69.4286,3151,146.0,3,3.0-3.0
94,58,26,0,2,1,532.9909,2937.022,19203.39,8.8354,79.7143,3151,146.0,3,3.0-3.0
95,58,27,0,2,2,0.0,2984.992,19203.39,8.8354,90.0,3151,146.0,3,3.0-3.0
96,58,28,0,2,2,-532.991,2937.022,19203.39,8.8354,100.2857,4260,146.0,3,3.0-3.0
97,58,29,0,2,1,-1048.85,2794.654,19203.39,8.8354,110.5714,4260,146.0,3,3.0-3.0
98,58,30,0,2,2,-1531.0,2562.463,19203.39,8.8354,120.8571,6484,146.0,3,3.0-3.0
99,58,31,0,2,1,-1963.94,2247.913,19203.39,8.8354,131.1428,6484,146.0,3,3.0-3.0
100,58,32,0,2,0,-2333.76,1861.112,19203.39,8.8354,141.4286,6484,146.0,3,3.0-3.0
101,58,33,0,2,2,-2628.57,1414.494,19203.39,8.8354,151.7143,5473,146.0,3,3.0-3.0
102,58,34,0,2,1,-2838.9,922.4133,19203.39,8.8354,162.0,5473,146.0,3,3.0-3.0
